,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,H_ads [kJ/mol]
2814,569.344,0.337623,3.61383,7.06814,1.4635,58.9356,-3460.51513671875
2815,434.965,0.217384,4.80316,5.5222,1.67627,41.5486,-3414.904541015625
2816,2325.76,0.639996,7.82211,8.76059,0.815276,341.477,-3105.197265625
2817,804.802,0.304068,7.00284,7.30428,1.34585,138.799,-2904.883056640625
2818,749.283,0.298268,3.51345,5.23427,1.13309,30.0563,-3264.755615234375
2819,4391.21,0.744098,7.57996,13.67056,0.47623,2498.21,-2553.753662109375
2820,1817.39,0.5582,7.34994,8.0206,0.944819,212.822,-3312.248046875
2821,327.549,0.181763,5.9567,7.2025,1.76656,86.6344,-3162.44873046875
2822,788.29,0.306465,7.57101,7.68571,1.20893,265.357,-3017.622802734375
2823,2892.84,0.599664,6.10342,8.6288,0.738137,1086.44,-2693.39013671875
2824,313.562,0.159551,3.84835,4.29802,1.50965,10.7885,-3497.971923828125
2825,696.281,0.341962,3.78606,4.33193,1.40373,49.3549,-3367.321044921875
2826,5496.25,0.895131,15.21238,20.909,0.284419,7331.19,-2114.846923828125
2827,1104.78,0.356854,5.09379,6.47601,1.12089,129.202,-3173.33642578125
2828,1525.12,0.50686,3.98791,7.52257,1.07004,322.393,-3603.853515625
2829,1436.03,0.5393,5.07983,6.99592,1.20518,95.7537,-3265.9794921875
2830,3089.08,0.68393,5.48349,7.56261,0.786488,522.832,-3215.91943359375
2831,167.15,0.0967277,3.91091,5.34636,1.87115,13.239,-3038.892578125
2832,2417.02,0.60112,9.39859,11.05858,0.74372,863.849,-2874.746337890625
2833,4283.59,0.804596,9.9043,13.67558,0.468282,1455.22,-2582.98388671875
2834,1354.24,0.626278,20.34376,20.65389,0.77518,1112.34,-2316.487060546875
2835,607.515,0.537043,20.5181,20.61537,1.5052,1099.09,-2140.842529296875
2836,4047.41,0.857742,13.96857,20.46019,0.415302,6019.68,-2314.844482421875
2837,1458.25,0.460259,4.50451,6.30462,1.07473,477.323,-3334.175048828125
2838,3514.27,0.803799,7.87065,16.11227,0.600178,5094.89,-2692.75634765625
2839,741.888,0.366753,4.1145,5.5836,1.27183,43.2136,-3620.402099609375
2840,1797.16,0.648985,5.34255,5.63198,1.0213,131.835,-3902.835205078125
2841,4120.97,0.803645,7.60578,13.41496,0.516912,2922.12,-2501.488037109375
2842,3419.91,0.80157,9.35834,16.22386,0.623414,4971.79,-2742.999755859375
2843,5017.17,0.857199,13.84638,17.32885,0.322854,3673.13,-2199.194580078125
2844,513.292,0.266283,4.47026,5.21744,1.46855,36.6971,-3238.443359375
2845,906.84,0.452418,3.65091,7.3664,1.39129,161.568,-3027.577880859375
2846,2049.2,0.778717,14.38186,14.86862,0.777337,2306.01,-2464.478271484375
2847,3469.11,0.789386,8.07751,15.16961,0.608411,4881.52,-2682.860107421875
2848,947.97,0.39468,5.77227,6.55208,1.18131,118.577,-3446.919677734375
2849,5217.59,0.826077,8.88207,10.10618,0.441567,2556.27,-2698.675048828125
2850,3377.54,0.771125,5.49937,14.93591,0.638032,2498.21,-2912.265380859375
