Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220,CO2_emission
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,2.075,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660476
75,75,210,210,5,2.55,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660674
75,75,210,210,5,3.025,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660686
75,75,210,210,5,3.5,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660695
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75,210,210,5,2.2,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660687
75,75,210,210,5,2.8,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660853
75,75,210,210,5,3.4,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660909
75,75,210,210,5,4,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005660995
